Micro,p_pobr91,p_pobr00,p_pobr10
12001,74.96,53.5,41.58
12002,81.98,71.46,54.54
12003,75.64,58.47,40.18
12004,45.1,30.34,20.55
12005,66.07,46.56,35.01
27001,89.18,76.37,54.93
27002,72.71,60.72,38.55
27003,85.6,73.51,52.09
27004,84.85,69.85,44.44
27005,80.41,64,38.12
27006,75.53,58.99,36.9
27007,93.56,80.55,61.23
27008,82.1,64.01,41.17
27009,84.17,67.75,40.37
27010,85.79,69.89,42.59
27011,48.28,35.57,18.53
27012,78.41,62.05,37.07
27013,78.6,63.54,43.33
13001,74.72,64.23,58.96
13002,79.48,76.5,63.94
13003,76.8,72.7,56.3
13004,81.28,76.83,56.44
13005,59.88,52.3,41
13006,76.26,64.87,46.47
13007,32.78,32.14,19.83
13008,51.92,48.08,29.2
13009,68.72,60.84,42.2
13010,71.81,65.95,48.72
13011,75.93,71.74,53.29
13012,86.09,77.65,52.7
13013,73.29,66.64,44.02
16001,52.97,41.51,35.16
16002,73.67,57.21,50.75
16003,40.81,34.17,21.99
16004,56.98,46.26,30.32
29001,68.37,44.25,23.19
29002,86.85,66.89,46.73
29003,81.98,62.17,39.54
29004,78.23,52.23,33.87
29005,63.24,47.89,29.51
29006,86.44,68.31,47.85
29007,85.08,65.34,44.08
29008,83.52,59.23,40.63
29009,81.61,57.68,40.11
29010,82.98,60.03,37.35
29011,85.07,61.22,39.38
29012,67.13,45.46,24.64
29013,83.53,68.6,44.76
29014,87.55,68.06,46.7
29015,82.64,59.9,43.78
29016,82.26,59.34,34.39
29017,70.82,51.76,33.46
29018,84.34,62.8,44.9
29019,67.23,45.17,26.53
29020,76.53,49.39,30.57
29021,41.99,26.92,15.42
29022,85.7,63.49,42.81
29023,83.03,56.49,38.5
29024,80.66,54.33,32.57
29025,83.05,51.49,33.64
29026,82.29,58.19,29.03
29027,81.41,55.6,33.34
29028,73.4,49.39,27.9
29029,79.21,52.07,22.36
29030,82.12,59.47,36.13
29031,77.65,52.96,27.84
29032,70.79,42.83,22.98
23001,85.85,69.52,48.69
23002,84.61,65.71,41.81
23003,86.12,71.09,48.54
23004,89.4,62.51,33.33
23005,79.97,58.16,35.55
23006,86.46,64.31,45.28
23007,90.25,65.43,44.94
23008,88.21,68.96,46.84
23009,80.04,62.12,33.49
23010,84.07,66.05,43.92
23011,84.78,66.84,45.06
23012,86.01,68.52,46.73
23013,83.14,63.69,39.62
23014,87.29,64.85,40.58
23015,82.06,58.13,30.7
23016,51.47,31.23,16.11
23017,72.94,49.46,21.36
23018,85.47,61.43,42.65
23019,84.91,61.64,41.42
23020,86.39,67.63,43.31
23021,87.46,63.52,42
23022,78.7,52.16,30.42
23023,76.99,51.73,28.71
23024,82.17,55.82,38.06
23025,88.89,64.97,41.25
23026,77.45,53.03,32.07
23027,89.08,65.3,41.81
23028,87.84,65.12,42.03
23029,87.87,66.07,48.09
23030,88.62,67.84,45.31
23031,88.34,63.58,44.01
23032,73.8,50.47,26.77
23033,81.76,60.32,33.46
53001,19.82,12.09,6.77
32001,69.67,39.33,20.22
32002,63.41,28.28,12.78
32003,53.72,22.21,9.79
32004,61.44,40.43,15.36
32005,56.59,32.16,16.72
32006,53.28,24.28,10.88
32007,62.54,25.23,14.15
32008,63.24,26.2,11.85
32009,31.63,16.23,7.98
32010,47.74,22.67,10.48
32011,63.63,23.82,16.07
32012,50.16,19.35,9.61
32013,63.01,32.09,16.75
52001,51.85,28.11,15.1
52002,52.25,26.01,10.01
52003,55.09,25.7,10.86
52004,56.56,33.44,14.22
52005,69.64,49.35,26.51
52006,52.68,25.1,8.23
52007,41.03,18.48,7.7
52008,45.53,23.72,8.02
52009,50.43,26.3,8.44
52010,25.67,12.33,6.27
52011,73.2,49.47,28.87
52012,44.7,27.27,13.63
52013,39.83,15.95,7.55
52014,47,21.02,7.67
52015,39.11,15.34,7.47
52016,49.92,17.49,7.24
52017,42.91,15.09,5.69
52018,46,18.45,5.52
21001,85.88,72.06,49.96
21002,50.7,34.87,17.02
21003,88.9,73.75,49.47
21004,89.62,77.93,57.13
21005,88.23,70.24,48.06
21006,89.58,73.73,55.34
21007,86.22,73.34,50.7
21008,84.39,67.28,45.24
21009,69.54,46.65,24.22
21010,82.31,65.26,39.42
21011,86.67,67.44,50.77
21012,84.55,60.51,41.29
21013,89.7,78.23,56.64
21014,88.84,75.3,55.75
21015,87.98,71.86,48.77
21016,82.19,68.72,52.79
21017,80.84,59.59,34.34
21018,87.15,66.66,46.15
21019,78.68,55.81,28.24
21020,85.51,57.35,30.55
21021,89.87,69.12,44.58
31001,62.35,32.32,16.5
31002,55.87,26.11,9.87
31003,80.52,63.03,35.95
31004,78.5,51.48,24.63
31005,78.35,57.7,30.02
31006,68.19,44.57,18.77
31007,66.88,41.16,19.61
31008,78.67,64.11,34.92
31009,73,44.26,19.17
31010,64.76,41.93,19.04
31011,76.6,50.84,25.05
31012,80.31,59.94,36.57
31013,79.76,59.87,31.81
31014,79.63,58.27,30.39
31015,71.65,47.6,26.84
31016,71.26,47.25,23.51
31017,38.37,16.96,5.45
31018,24.51,10.57,4.86
31019,44.05,15.15,5.9
31020,42.14,11.72,6.09
31021,37.17,15.07,7.57
31022,27.11,9.23,5.15
31023,37.64,12.14,5.31
31024,53.88,22.14,8.87
31025,60.67,32.04,13.97
31026,45.36,13.42,5.04
31027,47.75,20.82,8.6
31028,78.78,55.74,33.6
31029,40.82,14.67,5.34
31030,29.92,14.89,7.23
31031,51.44,27.71,10.45
31032,62.99,27.27,10.65
31033,46.19,21.73,8.88
31034,45.89,23.47,8.41
31035,72.46,49.08,23.92
31036,80.37,56.19,29.08
31037,53.8,30.9,15.71
31038,71.75,40.78,21.22
31039,43.55,21.7,9.16
31040,70.26,36.19,18.7
31041,70.41,33.53,19.42
31042,41.58,11.57,4.94
31043,35.8,10.61,4.13
31044,51.27,14.81,5.85
31045,53.33,14.56,7.52
31046,61.83,22.21,8.03
31047,35.73,12.36,5.33
31048,41.77,11.62,5.66
31049,41.26,11.29,7.04
31050,42.73,13.42,6.77
31051,30.64,8.42,4.69
31052,32.38,14.46,6.73
31053,52.71,16.78,8.73
31054,57.94,18.39,9.64
31055,63.28,29.98,13.5
31056,48,22.11,8.92
31057,45.43,15.91,6.76
31058,57.27,22.79,9.39
31059,55.34,28.29,12.78
31060,68.4,35.06,15.88
31061,65.12,26.99,18.02
31062,69.48,37.51,17.65
31063,59.92,24.32,13.59
31064,58.59,22.72,7.76
31065,35.46,14.57,7.59
31066,52.76,19.63,9.82
50001,51.66,30.98,16.52
50002,59.42,36.68,18.61
50003,45.48,22.35,7.96
50004,26.06,14.63,6.44
50005,40.12,14.82,4.89
50006,41.99,19.62,6.95
50007,38,15.35,5.84
50008,50.74,20.57,8.92
50009,57.6,32.93,15.07
50010,44.17,23.95,11.88
50011,55.79,28.01,17.25
51001,40.77,22.18,22.47
51002,51.44,24.75,12.3
51003,49,28.35,16.72
51004,38.05,18.09,9.09
51005,44.5,19.69,11.85
51006,35.37,11.48,8.54
51007,20.56,8.6,6.21
51008,63.02,27.88,24.78
51009,59.67,37.38,24.04
51010,51.28,24.38,19.59
51011,42.83,19.74,16.7
51012,46.59,26.76,14.81
51013,45.15,19.92,11.01
51014,52.98,29.06,12.94
51015,56.61,35.58,16.41
51016,65.66,41.28,26.75
51017,33.31,16.99,9.45
51018,57.56,33.87,18.26
51019,32.32,9.19,7.41
51020,54.02,29.42,17.95
51021,40.47,18.31,8.34
51022,46.35,19.92,8.09
15001,73.98,61.43,45.04
15002,71.67,53.14,38.91
15003,63.57,52.1,46.09
15004,80.33,68.81,59.34
15005,78.33,63.61,56.63
15006,76.68,62.89,49.05
15007,37.44,25.93,16.21
15008,62,43.97,26.67
15009,77.47,57.74,41.12
15010,75.69,56.53,41.86
15011,77.38,63.66,46.24
15012,69.89,52.24,39.04
15013,78.56,64.31,50.78
15014,62.1,45.94,32.88
15015,67.03,38.54,35.54
15016,68.78,47.46,34.95
15017,58.79,41.25,28.59
15018,56.4,36.1,31.18
15019,55.4,44.71,21.98
15020,64.78,41.51,26.56
15021,62.42,35.31,21.53
15022,66.21,47.56,30.52
25001,80.07,50.97,28.46
25002,80.37,55.03,29.39
25003,78.63,51.29,28.81
25004,71.91,42.04,21.05
25005,87.57,63.92,36.97
25006,88.79,62.86,37.35
25007,89.53,66.5,40.62
25008,82.82,50.94,27.53
25009,85.79,59.43,36.74
25010,83.76,55.56,32.7
25011,79.45,54.04,31.53
25012,84.55,59.03,38.4
25013,85.1,64.6,44.81
25014,80.73,54.18,35.58
25015,85.99,62.83,41.21
25016,84.41,55.26,33.69
25017,62.05,37.1,19.53
25018,83.39,58.4,36.37
25019,88.79,68.74,50.49
25020,83.64,59.88,40.74
25021,85.86,60.62,39.32
25022,50.02,28.36,15.87
25023,81.18,60.3,38.3
26001,85.84,65.65,42.04
26002,80.42,59.84,39.46
26003,80.07,56.37,34.62
26004,74.21,56.91,39.67
26005,65.82,44.65,26.41
26006,74.92,58.56,38.57
26007,85.34,68.44,52.28
26008,64.3,42.76,26.81
26009,63.71,37.9,20.17
26010,78.86,57.98,35.72
26011,76.04,57.52,39.81
26012,79.71,59.03,39.85
